           ham	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham	I'm at home. Please call
spam	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham	U dun say so early hor... U c already then say...
ham	Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham	After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
ham	Even my brother is not like to speak with me. They treat me like aids patent.
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham	I had askd u a question some hours before. Its answer
ham	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
spam	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham	Wot about on wed nite I am 3 then but only til 9!
ham	I keep seeing weird shit and bein all "woah" then realising it's actually reasonable and I'm all "oh"
ham	Its ok, called mom instead have fun
ham	Oh k...i'm watching here:)
ham	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham	Fine if thats the way u feel. Thats the way its gota b
spam	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
ham	Is that seriously how you spell his name?
ham	I‘m going to try for 2 months ha ha only joking
ham	WHAT TIME U WRKIN?
ham	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham	Ü thk of wat to eat tonight.
ham	Uncle G, just checking up on you. Do have a rewarding month
ham	Lol your always so convincing.
ham	"Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?"
ham	Ok k..sry i knw 2 siva..tats y i askd..
ham	Ahhh. Work. I vaguely remember that! What does it feel like? Lol
spam	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham	There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
ham	I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham	For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham	Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx
ham	Oops, I'll let you know when my roommate's done
ham	I see the letter B on my carq
ham	Anything lor... U decide...
ham	Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham	Are you planning to come chennai?
spam	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham	WHO ARE YOU SEEING?
ham	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham	No calls..messages..missed calls
ham	Didn't you get hep b immunisation in nigeria.
ham	Fair enough, anything going on?
ham	Yeah hopefully, if tyler can't do it I could maybe ask around a bit
ham	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham	What you thinked about me. First time you saw me in class.
ham	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
ham	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham	Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about "the cave". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
ham	I'll pick you up at about 5.15pm to go to taunton if you still want to come.
